Date,Open (Spot Price USD),High (Spot Price USD),Low (Spot Price USD),Close (Spot Price USD),"('Date', '')","('Open (Spot Price USD)', 'GC=F')","('High (Spot Price USD)', 'GC=F')","('Low (Spot Price USD)', 'GC=F')","('Close (Spot Price USD)', 'GC=F')"
2020-03-14,1609.25,1611.19,1524.82,1543.13,,,,,
2020-03-15,1609.25,1611.19,1524.82,1543.13,,,,,
2020-03-16,1481.52,1539.68,1466.01,1525.46,,,,,
2020-03-17,1509.74,1574.57,1507.05,1546.14,,,,,
2020-03-18,1526.65,1538.82,1491.64,1515.34,,,,,
2020-03-19,1497.89,1513.18,1484.64,1486.69,,,,,
2020-03-20,1515.45,1520.4,1498.54,1508.98,,,,,
2020-03-21,1515.45,1520.4,1498.54,1508.98,,,,,
2020-03-22,1515.45,1520.4,1498.54,1508.98,,,,,
2020-03-23,1536.66,1582.44,1532.36,1575.65,,,,,
2020-03-24,1653.2,1676.46,1637.58,1652.12,,,,,
2020-03-25,1643.29,1646.52,1626.38,1629.5,,,,,
2020-03-26,1651.15,1667.3,1637.9,1650.39,,,,,
2020-03-27,1647.81,1653.73,1637.04,1639.73,,,,,
2020-03-28,1647.81,1653.73,1637.04,1639.73,,,,,
2020-03-29,1647.81,1653.73,1637.04,1639.73,,,,,
2020-03-30,1641.46,1648.67,1632.41,1646.95,,,,,
2020-03-31,1630.15,1634.89,1593.64,1594.5,,,,,
2020-04-01,1596.11,1616.36,1592.34,1609.58,,,,,
2020-04-02,1628.42,1642.42,1623.04,1635.96,,,,,
2020-04-03,1639.52,1648.78,1633.38,1644.04,,,,,
2020-04-04,1639.52,1648.78,1633.38,1644.04,,,,,
2020-04-05,1639.52,1648.78,1633.38,1644.04,,,,,
2020-04-06,1660.3,1693.26,1658.15,1689.6,,,,,
2020-04-07,1672.9,1681.63,1662.67,1680.55,,,,,
2020-04-08,1679.15,1679.47,1664.93,1665.58,,,,,
2020-04-09,1702.52,1713.29,1693.15,1709.09,,,,,
2020-04-10,1705.455,1722.175,1696.975,1716.415,,,,,
2020-04-11,1705.455,1722.175,1696.975,1716.415,,,,,
2020-04-12,1705.455,1722.175,1696.975,1716.415,,,,,
2020-04-13,1714.26,1748.83,1708.45,1738.39,,,,,
2020-04-14,1752.6,1770.8,1742.37,1752.06,,,,,
2020-04-15,1742.59,1750.56,1731.92,1743.12,,,,,
2020-04-16,1743.45,1757.13,1730.2,1741.62,,,,,
2020-04-17,1720.18,1723.95,1702.95,1707.8,,,,,
2020-04-18,1720.18,1723.95,1702.95,1707.8,,,,,
2020-04-19,1720.18,1723.95,1702.95,1707.8,,,,,
2020-04-20,1708.34,1725.57,1706.61,1719.97,,,,,
2020-04-21,1697.35,1714.69,1691.32,1708.23,,,,,
2020-04-22,1728.58,1741.94,1727.72,1741.83,,,,,
2020-04-23,1748.94,1761.97,1743.02,1759.17,,,,,
2020-04-24,1756.91,1758.85,1732.79,1751.63,,,,,
2020-04-25,1756.91,1758.85,1732.79,1751.63,,,,,
2020-04-26,1756.91,1758.85,1732.79,1751.63,,,,,
2020-04-27,1743.45,1744.74,1727.62,1740.0,,,,,
2020-04-28,1732.79,1733.75,1714.15,1732.25,,,,,
2020-04-29,1724.28,1743.12,1720.62,1741.83,,,,,
2020-04-30,1725.57,1732.03,1703.06,1710.28,,,,,
2020-05-01,1701.66,1728.05,1699.51,1720.83,,,,,
2020-05-02,1701.66,1728.05,1699.51,1720.83,,,,,
2020-05-03,1701.66,1728.05,1699.51,1720.83,,,,,
2020-05-04,1726.75,1733.43,1722.23,1726.86,,,,,
2020-05-05,1724.92,1735.05,1715.98,1734.19,,,,,
2020-05-06,1712.32,1721.15,1702.74,1711.89,,,,,
2020-05-07,1717.81,1744.31,1716.31,1738.17,,,,,
2020-05-08,1734.83,1744.74,1723.2,1727.72,,,,,
2020-05-09,1734.83,1744.74,1723.2,1727.72,,,,,
2020-05-10,1734.83,1744.74,1723.2,1727.72,,,,,
2020-05-11,1726.86,1730.85,1711.25,1716.95,,,,,
2020-05-12,1726.43,1733.43,1720.18,1723.63,,,,,
2020-05-13,1733.32,1740.65,1729.02,1740.22,,,,,
2020-05-14,1739.68,1759.17,1739.46,1755.62,,,,,
2020-05-15,1766.5,1774.9,1756.37,1765.53,,,,,
2020-05-16,1766.5,1774.9,1756.37,1765.53,,,,,
2020-05-17,1766.5,1774.9,1756.37,1765.53,,,,,
2020-05-18,1769.83,1771.66,1749.16,1752.17,,,,,
2020-05-19,1761.97,1770.91,1755.94,1769.08,,,,,
2020-05-20,1772.1,1776.62,1765.1,1773.28,,,,,
2020-05-21,1760.46,1761.76,1737.95,1747.43,,,,,
2020-05-22,1754.22,1760.57,1752.71,1757.77,,,,,
2020-05-23,1754.22,1760.57,1752.71,1757.77,,,,,
2020-05-24,1754.22,1760.57,1752.71,1757.77,,,,,
2020-05-25,1752.605,1755.78,1741.67,1745.28,,,,,
2020-05-26,1750.99,1750.99,1730.63,1732.79,,,,,
2020-05-27,1716.95,1737.63,1714.58,1735.91,,,,,
2020-05-28,1746.03,1749.69,1732.89,1741.72,,,,,
2020-05-29,1750.99,1759.82,1748.19,1754.54,,,,,
2020-05-30,1750.99,1759.82,1748.19,1754.54,,,,,
2020-05-31,1750.99,1759.82,1748.19,1754.54,,,,,
2020-06-01,1754.65,1763.48,1748.94,1762.62,,,,,
2020-06-02,1765.1,1767.14,1743.23,1751.2,,,,,
2020-06-03,1726.86,1732.89,1710.49,1718.89,,,,,
2020-06-04,1735.48,1743.34,1721.48,1736.99,,,,,
2020-06-05,1709.41,1709.41,1691.32,1701.77,,,,,
2020-06-06,1709.41,1709.41,1691.32,1701.77,,,,,
2020-06-07,1709.41,1709.41,1691.32,1701.77,,,,,
2020-06-08,1711.35,1721.69,1706.72,1720.18,,,,,
2020-06-09,1735.05,1742.37,1732.57,1736.77,,,,,
2020-06-10,1745.82,1762.3,1728.8,1761.65,,,,,
2020-06-11,1759.28,1766.93,1744.42,1748.94,,,,,
2020-06-12,1759.93,1764.99,1750.77,1751.42,,,,,
2020-06-13,1759.93,1764.99,1750.77,1751.42,,,,,
2020-06-14,1759.93,1764.99,1750.77,1751.42,,,,,
2020-06-15,1728.8,1750.77,1724.92,1748.29,,,,,
2020-06-16,1743.12,1752.17,1737.85,1747.43,,,,,
2020-06-17,1744.74,1751.42,1742.26,1750.77,,,,,
2020-06-18,1746.89,1748.19,1738.71,1747.32,,,,,
2020-06-19,1754.11,1767.25,1753.14,1766.6,,,,,
2020-06-20,1754.11,1767.25,1753.14,1766.6,,,,,
2020-06-21,1754.11,1767.25,1753.14,1766.6,,,,,
2020-06-22,1777.7,1784.91,1770.7,1778.02,,,,,
2020-06-23,1783.84,1793.42,1782.65,1792.99,,,,,
2020-06-24,1787.93,1798.48,1781.9,1786.74,,,,,
2020-06-25,1786.64,1786.85,1778.77,1785.67,,,,,
2020-06-26,1775.65,1793.85,1768.65,1793.64,,,,,
2020-06-27,1775.65,1793.85,1768.65,1793.64,,,,,
2020-06-28,1775.65,1793.85,1768.65,1793.64,,,,,
2020-06-29,1793.85,1796.44,1789.76,1794.61,,,,,
2020-06-30,1791.16,1809.25,1789.87,1802.57,,,,,
2020-07-01,1799.13,1799.24,1780.71,1794.5,,,,,
2020-07-02,1789.97,1801.17,1788.04,1798.37,,,,,
2020-07-03,1794.145,1803.2175,1791.19,1801.0625,,,,,
2020-07-04,1794.145,1803.2175,1791.19,1801.0625,,,,,
2020-07-05,1794.145,1803.2175,1791.19,1801.0625,,,,,
2020-07-06,1806.67,1809.36,1800.64,1809.14,,,,,
2020-07-07,1803.01,1820.56,1802.68,1820.56,,,,,
2020-07-08,1834.35,1840.16,1828.53,1831.87,,,,,
2020-07-09,1836.07,1837.79,1817.76,1826.92,,,,,
2020-07-10,1830.36,1832.52,1815.5,1822.18,,,,,
2020-07-11,1830.36,1832.52,1815.5,1822.18,,,,,
2020-07-12,1830.36,1832.52,1815.5,1822.18,,,,,
2020-07-13,1834.02,1835.42,1821.85,1824.44,,,,,
2020-07-14,1819.81,1833.05,1818.08,1832.95,,,,,
2020-07-15,1826.81,1835.53,1824.33,1834.56,,,,,
2020-07-16,1828.75,1830.9,1816.36,1817.22,,,,,
2020-07-17,1830.25,1833.81,1826.7,1832.19,,,,,
2020-07-18,1830.25,1833.81,1826.7,1832.19,,,,,
2020-07-19,1830.25,1833.81,1826.7,1832.19,,,,,
2020-07-20,1839.09,1842.42,1833.81,1841.02,,,,,
2020-07-21,1858.15,1865.9,1855.78,1863.21,,,,,
2020-07-22,1874.52,1893.04,1871.4,1891.54,,,,,
2020-07-23,1897.35,1921.48,1891.75,1908.23,,,,,
2020-07-24,1929.34,1929.55,1919.21,1924.6,,,,,
2020-07-25,1929.34,1929.55,1919.21,1924.6,,,,,
2020-07-26,1929.34,1929.55,1919.21,1924.6,,,,,
2020-07-27,1958.52,1969.08,1955.08,1962.62,,,,,
2020-07-28,1960.36,1984.48,1953.89,1978.99,,,,,
2020-07-29,1981.79,2004.73,1964.34,1993.85,,,,,
2020-07-30,1975.65,1985.23,1961.54,1979.1,,,,,
2020-07-31,1987.17,2000.53,1983.51,1997.08,,,,,
2020-08-01,1987.17,2000.53,1983.51,1997.08,,,,,
2020-08-02,1987.17,2000.53,1983.51,1997.08,,,,,
2020-08-03,1992.99,2001.28,1983.83,1999.34,,,,,
2020-08-04,1999.02,2041.99,1994.71,2041.88,,,,,
2020-08-05,2064.07,2080.01,2052.98,2060.84,,,,,
2020-08-06,2086.58,2094.23,2073.44,2088.2,,,,,
2020-08-07,2075.49,2078.18,2039.08,2055.02,,,,,
2020-08-08,2075.49,2078.18,2039.08,2055.02,,,,,
2020-08-09,2075.49,2078.18,2039.08,2055.02,,,,,
2020-08-10,2059.22,2074.41,2042.64,2047.92,,,,,
2020-08-11,1977.05,1981.46,1932.46,1937.95,,,,,
2020-08-12,1966.71,1971.99,1928.26,1928.91,,,,,
2020-08-13,1955.4,1989.22,1953.25,1974.46,,,,,
2020-08-14,1975.65,1978.66,1954.65,1965.96,,,,,
2020-08-15,1975.65,1978.66,1954.65,1965.96,,,,,
2020-08-16,1975.65,1978.66,1954.65,1965.96,,,,,
2020-08-17,1989.11,2014.1,1988.79,2008.6,,,,,
2020-08-18,2037.47,2039.84,1999.24,2026.7,,,,,
2020-08-19,2016.25,2018.94,1957.02,1962.72,,,,,
2020-08-20,1951.42,1978.56,1948.62,1976.29,,,,,
2020-08-21,1961.65,1968.86,1943.66,1960.46,,,,,
2020-08-22,1961.65,1968.86,1943.66,1960.46,,,,,
2020-08-23,1961.65,1968.86,1943.66,1960.46,,,,,
2020-08-24,1969.94,1970.16,1946.03,1949.37,,,,,
2020-08-25,1950.02,1952.06,1935.69,1951.74,,,,,
2020-08-26,1941.4,1977.16,1940.75,1974.79,,,,,
2020-08-27,1992.45,1994.28,1931.81,1951.95,,,,,
2020-08-28,1981.46,1996.76,1975.22,1985.88,,,,,
2020-08-29,1981.46,1996.76,1975.22,1985.88,,,,,
2020-08-30,1981.46,1996.76,1975.22,1985.88,,,,,
2020-08-31,1990.19,1998.16,1984.7,1990.62,,,,,
2020-09-01,2013.88,2013.88,1985.23,1992.99,,,,,
2020-09-02,1978.99,1980.17,1954.76,1966.82,,,,,
2020-09-03,1963.37,1968.97,1943.88,1950.88,,,,,
2020-09-04,1948.83,1961.22,1939.14,1956.26,,,,,
2020-09-05,1948.83,1961.22,1939.14,1956.26,,,,,
2020-09-06,1948.83,1961.22,1939.14,1956.26,,,,,
2020-09-07,1941.025,1962.135,1933.595,1954.375,,,,,
2020-09-08,1933.22,1963.05,1928.05,1952.49,,,,,
2020-09-09,1965.52,1973.28,1962.19,1971.45,,,,,
2020-09-10,1984.16,1989.0,1963.16,1965.09,,,,,
2020-09-11,1972.42,1976.83,1960.25,1964.99,,,,,
2020-09-12,1972.42,1976.83,1960.25,1964.99,,,,,
2020-09-13,1972.42,1976.83,1960.25,1964.99,,,,,
2020-09-14,1977.05,1984.91,1975.11,1980.5,,,,,
2020-09-15,1986.63,1988.9,1970.05,1975.76,,,,,
2020-09-16,1992.23,1992.56,1974.46,1981.36,,,,,
2020-09-17,1959.28,1971.88,1954.54,1970.48,,,,,
2020-09-18,1971.66,1982.65,1967.03,1973.06,,,,,
2020-09-19,1971.66,1982.65,1967.03,1973.06,,,,,
2020-09-20,1971.66,1982.65,1967.03,1973.06,,,,,
2020-09-21,1936.88,1941.72,1903.6,1933.43,,,,,
2020-09-22,1934.62,1938.82,1918.24,1924.06,,,,,
2020-09-23,1906.07,1909.09,1875.06,1882.49,,,,,
2020-09-24,1877.86,1898.1,1871.5,1889.49,,,,,
2020-09-25,1878.4,1887.98,1872.8,1884.1,,,,,
2020-09-26,1878.4,1887.98,1872.8,1884.1,,,,,
2020-09-27,1878.4,1887.98,1872.8,1884.1,,,,,
2020-09-28,1893.69,1904.24,1885.72,1903.06,,,,,
2020-09-29,1908.34,1920.61,1905.75,1919.11,,,,,
2020-09-30,1913.94,1923.63,1902.63,1907.58,,,,,
2020-10-01,1924.71,1933.22,1917.49,1924.6,,,,,
2020-10-02,1924.49,1930.95,1918.78,1922.88,,,,,
2020-10-03,1924.49,1930.95,1918.78,1922.88,,,,,
2020-10-04,1924.49,1930.95,1918.78,1922.88,,,,,
2020-10-05,1928.05,1940.11,1926.75,1932.25,,,,,
2020-10-06,1940.32,1942.58,1906.83,1909.52,,,,,
2020-10-07,1907.26,1910.81,1900.15,1908.66,,,,,
2020-10-08,1919.0,1921.91,1902.74,1915.44,,,,,
2020-10-09,1940.0,1951.2,1937.85,1950.23,,,,,
2020-10-10,1940.0,1951.2,1937.85,1950.23,,,,,
2020-10-11,1940.0,1951.2,1937.85,1950.23,,,,,
2020-10-12,1944.74,1947.54,1940.65,1944.63,,,,,
2020-10-13,1923.09,1923.52,1907.37,1914.04,,,,,
2020-10-14,1928.8,1934.18,1919.97,1919.97,,,,,
2020-10-15,1913.94,1929.45,1912.64,1926.97,,,,,
2020-10-16,1930.2,1931.28,1918.46,1920.29,,,,,
2020-10-17,1930.2,1931.28,1918.46,1920.29,,,,,
2020-10-18,1930.2,1931.28,1918.46,1920.29,,,,,
2020-10-19,1932.25,1933.0,1921.04,1921.26,,,,,
2020-10-20,1922.88,1935.05,1917.92,1930.52,,,,,
2020-10-21,1943.66,1952.71,1941.08,1945.06,,,,,
2020-10-22,1926.54,1928.15,1914.04,1926.0,,,,,
2020-10-23,1928.8,1929.98,1914.48,1923.95,,,,,
2020-10-24,1928.8,1929.98,1914.48,1923.95,,,,,
2020-10-25,1928.8,1929.98,1914.48,1923.95,,,,,
2020-10-26,1925.14,1929.34,1919.43,1922.98,,,,,
2020-10-27,1924.71,1932.46,1922.55,1928.05,,,,,
2020-10-28,1900.37,1904.67,1889.49,1896.92,,,,,
2020-10-29,1884.97,1897.03,1882.92,1889.06,,,,,
2020-10-30,1908.23,1910.17,1894.98,1897.67,,,,,
2020-10-31,1908.23,1910.17,1894.98,1897.67,,,,,
2020-11-01,1908.23,1910.17,1894.98,1897.67,,,,,
2020-11-02,1911.14,1916.31,1907.69,1916.09,,,,,
2020-11-03,1927.29,1932.03,1920.29,1926.97,,,,,
2020-11-04,1927.08,1929.88,1913.4,1925.89,,,,,
2020-11-05,1949.37,1974.03,1949.05,1970.16,,,,,
2020-11-06,1975.22,1976.62,1962.19,1972.96,,,,,
2020-11-07,1975.22,1976.62,1962.19,1972.96,,,,,
2020-11-08,1975.22,1976.62,1962.19,1972.96,,,,,
2020-11-09,1900.04,1900.37,1870.1,1885.61,,,,,
2020-11-10,1903.6,1905.32,1891.86,1891.86,,,,,
2020-11-11,1881.52,1887.77,1878.72,1883.67,,,,,
2020-11-12,1895.95,1903.81,1893.8,1895.09,,,,,
2020-11-13,1913.29,1914.91,1904.57,1908.01,,,,,
2020-11-14,1913.29,1914.91,1904.57,1908.01,,,,,
2020-11-15,1913.29,1914.91,1904.57,1908.01,,,,,
2020-11-16,1908.77,1916.09,1904.89,1907.91,,,,,
2020-11-17,1908.98,1911.03,1896.49,1900.9,,,,,
2020-11-18,1898.32,1904.78,1888.52,1890.03,,,,,
2020-11-19,1877.21,1887.12,1875.81,1886.47,,,,,
2020-11-20,1896.81,1899.61,1891.0,1892.18,,,,,
2020-11-21,1896.81,1899.61,1891.0,1892.18,,,,,
2020-11-22,1896.81,1899.61,1891.0,1892.18,,,,,
2020-11-23,1885.83,1887.33,1850.07,1854.92,,,,,
2020-11-24,1823.36,1827.56,1818.62,1826.48,,,,,
2020-11-25,1830.68,1836.5,1822.71,1825.62,,,,,
2020-11-26,1814.095,1822.015,1809.465,1816.36,,,,,
2020-11-27,1797.51,1807.53,1796.22,1807.1,,,,,
2020-11-28,1797.51,1807.53,1796.22,1807.1,,,,,
2020-11-29,1797.51,1807.53,1796.22,1807.1,,,,,
2020-11-30,1795.14,1803.22,1788.14,1795.04,,,,,
2020-12-01,1828.32,1836.07,1823.36,1832.84,,,,,
2020-12-02,1837.04,1849.86,1832.52,1846.62,,,,,
2020-12-03,1859.33,1861.59,1842.53,1861.16,,,,,
2020-12-04,1860.84,1866.66,1848.02,1855.89,,,,,
2020-12-05,1860.84,1866.66,1848.02,1855.89,,,,,
2020-12-06,1860.84,1866.66,1848.02,1855.89,,,,,
2020-12-07,1858.47,1887.87,1857.93,1883.57,,,,,
2020-12-08,1890.24,1894.77,1881.73,1890.14,,,,,
2020-12-09,1873.12,1874.41,1844.25,1857.82,,,,,
2020-12-10,1862.13,1869.46,1849.21,1854.27,,,,,
2020-12-11,1855.13,1866.66,1853.62,1857.72,,,,,
2020-12-12,1855.13,1866.66,1853.62,1857.72,,,,,
2020-12-13,1855.13,1866.66,1853.62,1857.72,,,,,
2020-12-14,1851.47,1858.04,1840.7,1847.49,,,,,
2020-12-15,1867.84,1873.76,1863.86,1873.33,,,,,
2020-12-16,1875.38,1884.97,1863.43,1883.67,,,,,
2020-12-17,1907.91,1915.66,1901.77,1903.49,,,,,
2020-12-18,1902.52,1906.07,1896.6,1900.26,,,,,
2020-12-19,1902.52,1906.07,1896.6,1900.26,,,,,
2020-12-20,1902.52,1906.07,1896.6,1900.26,,,,,
2020-12-21,1898.64,1905.64,1892.94,1894.23,,,,,
2020-12-22,1897.67,1899.18,1877.64,1879.26,,,,,
2020-12-23,1885.83,1897.78,1885.4,1891.75,,,,,
2020-12-24,1890.67,1899.5,1890.24,1899.29,,,,,
2020-12-25,1895.275,1903.6475,1890.565,1897.5675,,,,,
2020-12-26,1895.275,1903.6475,1890.565,1897.5675,,,,,
2020-12-27,1895.275,1903.6475,1890.565,1897.5675,,,,,
2020-12-28,1909.09,1916.09,1891.54,1892.4,,,,,
2020-12-29,1898.21,1905.97,1890.89,1899.29,,,,,
2020-12-30,1900.26,1914.04,1900.26,1913.83,,,,,
2020-12-31,1917.81,1921.37,1909.74,1920.94,,,,,
2021-01-01,1928.3125,1932.14,1919.54,1931.6275,,,,,
2021-01-02,1928.3125,1932.14,1919.54,1931.6275,,,,,
2021-01-03,1928.3125,1932.14,1919.54,1931.6275,,,,,
2021-01-04,1959.82,1964.45,1948.94,1963.69,,,,,
2021-01-05,1969.51,1973.17,1958.2,1969.51,,,,,
2021-01-06,1954.65,1955.62,1919.64,1937.52,,,,,
2021-01-07,1935.26,1937.74,1926.11,1933.0,,,,,
2021-01-08,1904.46,1906.18,1846.84,1866.87,,,,,
2021-01-09,1904.46,1906.18,1846.84,1866.87,,,,,
2021-01-10,1904.46,1906.18,1846.84,1866.87,,,,,
2021-01-11,1853.95,1870.53,1852.76,1863.21,,,,,
2021-01-12,1864.61,1875.92,1855.89,1875.27,,,,,
2021-01-13,1870.53,1878.93,1863.75,1867.19,,,,,
2021-01-14,1867.95,1876.35,1859.55,1866.23,,,,,
2021-01-15,1861.49,1863.96,1841.45,1843.07,,,,,
2021-01-16,1861.49,1863.96,1841.45,1843.07,,,,,
2021-01-17,1861.49,1863.96,1841.45,1843.07,,,,,
2021-01-18,1860.79,1862.775,1846.515,1850.88,,,,,
2021-01-19,1860.09,1861.59,1851.58,1858.69,,,,,
2021-01-20,1877.96,1889.81,1872.04,1888.95,,,,,
2021-01-21,1885.93,1890.24,1879.47,1887.77,,,,,
2021-01-22,1862.03,1877.1,1856.21,1872.9,,,,,
2021-01-23,1862.03,1877.1,1856.21,1872.9,,,,,
2021-01-24,1862.03,1877.1,1856.21,1872.9,,,,,
2021-01-25,1882.81,1884.32,1865.26,1874.52,,,,,
2021-01-26,1873.76,1876.78,1867.73,1869.89,,,,,
2021-01-27,1862.46,1868.81,1848.78,1858.04,,,,,
2021-01-28,1877.0,1881.84,1852.87,1859.76,,,,,
2021-01-29,1883.35,1886.47,1859.01,1859.01,,,,,
2021-01-30,1883.35,1886.47,1859.01,1859.01,,,,,
2021-01-31,1883.35,1886.47,1859.01,1859.01,,,,,
2021-02-01,1884.97,1887.55,1874.63,1876.46,,,,,
2021-02-02,1857.72,1858.15,1847.16,1853.62,,,,,
2021-02-03,1856.32,1858.79,1847.05,1850.82,,,,,
2021-02-04,1812.48,1813.67,1802.25,1810.98,,,,,
2021-02-05,1820.02,1832.84,1816.58,1828.85,,,,,
2021-02-06,1820.02,1832.84,1816.58,1828.85,,,,,
2021-02-07,1820.02,1832.84,1816.58,1828.85,,,,,
2021-02-08,1852.22,1856.75,1846.95,1847.27,,,,,
2021-02-09,1858.58,1863.53,1849.75,1853.3,,,,,
2021-02-10,1864.83,1865.58,1852.55,1860.09,,,,,
2021-02-11,1859.98,1861.81,1838.55,1843.93,,,,,
2021-02-12,1834.02,1848.67,1829.61,1838.33,,,,,
2021-02-13,1834.02,1848.67,1829.61,1838.33,,,,,
2021-02-14,1834.02,1848.67,1829.61,1838.33,,,,,
2021-02-15,1822.445,1840.16,1818.03,1825.135,,,,,
2021-02-16,1810.87,1831.65,1806.45,1811.94,,,,,
2021-02-17,1797.73,1802.25,1786.2,1791.37,,,,,
2021-02-18,1798.37,1801.82,1784.91,1791.27,,,,,
2021-02-19,1796.01,1808.71,1794.28,1798.7,,,,,
2021-02-20,1796.01,1808.71,1794.28,1798.7,,,,,
2021-02-21,1796.01,1808.71,1794.28,1798.7,,,,,
2021-02-22,1815.18,1829.72,1812.59,1825.62,,,,,
2021-02-23,1825.3,1828.1,1812.38,1821.42,,,,,
2021-02-24,1805.59,1821.64,1800.21,1820.13,,,,,
2021-02-25,1797.73,1805.7,1781.9,1785.88,,,,,
2021-02-26,1777.05,1778.13,1733.43,1742.69,,,,,
2021-02-27,1777.05,1778.13,1733.43,1742.69,,,,,
2021-02-28,1777.05,1778.13,1733.43,1742.69,,,,,
2021-03-01,1755.83,1759.28,1735.69,1739.68,,,,,
2021-03-02,1743.99,1754.76,1736.34,1749.16,,,,,
2021-03-03,1729.77,1741.4,1717.71,1729.88,,,,,
